step,nta,cat,s,e,is,ia,r,d
0,BK68,c,4880.650324274143,0.0,0.0,0.0,0.0,0.0
0,BK68,i,8504.249839299599,0.0,0.0,0.0,0.0,0.0
0,BK68,h,9878.146174050078,0.0,0.0,0.0,0.0,0.0
0,BK69,m,4544.845069193328,0.0,0.0,0.0,0.0,0.0
0,BK69,c,5722.900983168779,0.0,0.0,0.0,0.0,0.0
0,BK69,i,11345.195604090353,0.0,0.0,0.0,0.0,0.0
0,BK69,h,13178.058343547542,0.0,0.0,0.0,0.0,0.0
0,BK72,m,3212.9331147571697,0.0,0.0,0.0,0.0,0.0
0,BK72,c,6504.402015594781,0.0,0.0,0.0,0.0,0.0
0,BK72,i,10737.027117940817,0.0,0.0,0.0,0.0,0.0
0,BK72,h,12471.637751707232,0.0,0.0,0.0,0.0,0.0
0,BK73,m,5518.524171016242,0.0,0.0,0.0,0.0,0.0
0,BK73,c,7990.5962279611695,0.0,0.0,0.0,0.0,0.0
0,BK73,i,14926.704710460515,0.0,0.0,0.0,0.0,0.0
0,BK73,h,17338.174890562073,0.0,0.0,0.0,0.0,0.0
0,BK75,m,8159.235687951456,0.0,0.0,0.0,0.0,0.0
0,BK75,c,12710.0444879757,0.0,0.0,0.0,0.0,0.0
0,BK75,i,23059.20544830678,0.0,0.0,0.0,0.0,0.0
0,BK75,h,26784.514375766063,0.0,0.0,0.0,0.0,0.0
0,BK76,m,3526.1074329247494,0.0,0.0,0.0,0.0,0.0
0,BK76,c,6720.389511456269,0.0,0.0,0.0,0.0,0.0
0,BK76,i,11321.716713472248,0.0,0.0,0.0,0.0,0.0
0,BK76,h,13150.786342146734,0.0,0.0,0.0,0.0,0.0
0,BK77,m,7134.942352985203,0.0,0.0,0.0,0.0,0.0
0,BK77,c,9727.995589007442,0.0,0.0,0.0,0.0,0.0
0,BK77,i,18632.456279684822,0.0,0.0,0.0,0.0,0.0
0,BK77,h,21642.605778322533,0.0,0.0,0.0,0.0,0.0
0,BK78,m,9168.568825343147,0.0,0.0,0.0,0.0,0.0
0,BK78,c,12110.346932219449,0.0,0.0,0.0,0.0,0.0
0,BK78,i,23511.826284111365,0.0,0.0,0.0,0.0,0.0
0,BK78,h,27310.257958326038,0.0,0.0,0.0,0.0,0.0
0,BK79,m,4099.538546358027,0.0,0.0,0.0,0.0,0.0
0,BK79,c,5325.326222754211,0.0,0.0,0.0,0.0,0.0
0,BK79,i,10413.866276238838,0.0,0.0,0.0,0.0,0.0
0,BK79,h,12096.268954648924,0.0,0.0,0.0,0.0,0.0
0,BK81,m,7773.0094675716155,0.0,0.0,0.0,0.0,0.0
0,BK81,c,9432.865467115827,0.0,0.0,0.0,0.0,0.0
0,BK81,i,19011.3794866048,0.0,0.0,0.0,0.0,0.0
0,BK81,h,22082.745578707756,0.0,0.0,0.0,0.0,0.0
0,BK82,m,5173.615334374229,0.0,0.0,0.0,0.0,0.0
0,BK82,c,21965.627328472903,0.0,0.0,0.0,0.0,0.0
0,BK82,i,29987.108659163023,0.0,0.0,0.0,0.0,0.0
0,BK82,h,34831.64867798984,0.0,0.0,0.0,0.0,0.0
